condition,strategy,timeout_ms,run,frame,stall_ms
congested,reset-at-keyframe,200,1,524,940.0
congested,reset-at-keyframe,200,1,525,976.0
congested,reset-at-keyframe,200,2,267,417.0
congested,reset-at-keyframe,200,2,268,1034.0
congested,reset-at-keyframe,200,2,296,705.0
congested,reset-at-keyframe,200,2,297,665.0
congested,reset-at-keyframe,200,2,298,712.0
congested,reset-at-keyframe,200,2,299,1058.0
congested,reset-at-keyframe,200,2,300,998.0
congested,reset-at-keyframe,200,2,301,999.0
congested,reset-at-keyframe,200,2,302,1011.0
congested,reset-at-keyframe,200,2,303,1000.0
congested,reset-at-keyframe,200,2,304,352.0
congested,reset-at-keyframe,200,2,523,544.0
congested,reset-at-keyframe,200,2,524,928.0
congested,reset-at-keyframe,200,2,525,976.0
congested,reset-at-keyframe,200,3,267,418.0
congested,reset-at-keyframe,200,3,268,1036.0
congested,reset-at-keyframe,200,3,296,703.0
congested,reset-at-keyframe,200,3,297,664.0
congested,reset-at-keyframe,200,3,298,715.0
congested,reset-at-keyframe,200,3,299,1059.0
congested,reset-at-keyframe,200,3,300,997.0
congested,reset-at-keyframe,200,3,301,1000.0
congested,reset-at-keyframe,200,3,302,1011.0
congested,reset-at-keyframe,200,3,303,999.0
congested,reset-at-keyframe,200,3,304,352.0
congested,reset-at-keyframe,200,3,523,534.0
congested,reset-at-keyframe,200,3,524,939.0
congested,reset-at-keyframe,200,3,525,976.0
congested,reset-at-keyframe,200,4,267,416.0
congested,reset-at-keyframe,200,4,268,1036.0
congested,reset-at-keyframe,200,4,296,703.0
congested,reset-at-keyframe,200,4,297,664.0
congested,reset-at-keyframe,200,4,298,714.0
congested,reset-at-keyframe,200,4,299,1059.0
congested,reset-at-keyframe,200,4,300,998.0
congested,reset-at-keyframe,200,4,301,998.0
congested,reset-at-keyframe,200,4,302,1012.0
congested,reset-at-keyframe,200,4,303,999.0
congested,reset-at-keyframe,200,4,304,352.0
congested,reset-at-keyframe,200,4,523,534.0
congested,reset-at-keyframe,200,4,524,941.0
congested,reset-at-keyframe,200,4,525,975.0
congested,reset-at-keyframe,200,5,267,419.0
congested,reset-at-keyframe,200,5,268,1035.0
congested,reset-at-keyframe,200,5,296,705.0
congested,reset-at-keyframe,200,5,297,663.0
congested,reset-at-keyframe,200,5,298,714.0
congested,reset-at-keyframe,200,5,299,1061.0
congested,reset-at-keyframe,200,5,300,994.0
congested,reset-at-keyframe,200,5,301,1000.0
congested,reset-at-keyframe,200,5,302,1011.0
congested,reset-at-keyframe,200,5,303,1000.0
congested,reset-at-keyframe,200,5,304,353.0
congested,reset-at-keyframe,200,5,523,532.0
congested,reset-at-keyframe,200,5,524,940.0
congested,reset-at-keyframe,200,5,525,976.0
congested,reset-at-keyframe,200,6,267,418.0
congested,reset-at-keyframe,200,6,268,1035.0
congested,reset-at-keyframe,200,6,296,704.0
congested,reset-at-keyframe,200,6,297,663.0
congested,reset-at-keyframe,200,6,298,715.0
congested,reset-at-keyframe,200,6,299,1059.0
congested,reset-at-keyframe,200,6,300,996.0
congested,reset-at-keyframe,200,6,301,1000.0
congested,reset-at-keyframe,200,6,302,1010.0
congested,reset-at-keyframe,200,6,303,1000.0
congested,reset-at-keyframe,200,6,304,352.0
congested,reset-at-keyframe,200,6,523,533.0
congested,reset-at-keyframe,200,6,524,940.0
congested,reset-at-keyframe,200,6,525,975.0
congested,reset-at-keyframe,200,7,267,419.0
congested,reset-at-keyframe,200,7,268,1036.0
congested,reset-at-keyframe,200,7,296,704.0
congested,reset-at-keyframe,200,7,297,664.0
congested,reset-at-keyframe,200,7,298,714.0
congested,reset-at-keyframe,200,7,299,1059.0
congested,reset-at-keyframe,200,7,300,997.0
congested,reset-at-keyframe,200,7,301,999.0
congested,reset-at-keyframe,200,7,302,1012.0
congested,reset-at-keyframe,200,7,303,1000.0
congested,reset-at-keyframe,200,7,304,352.0
congested,reset-at-keyframe,200,7,523,532.0
congested,reset-at-keyframe,200,7,524,940.0
congested,reset-at-keyframe,200,7,525,976.0
congested,reset-at-keyframe,200,8,267,414.0
congested,reset-at-keyframe,200,8,268,1036.0
congested,reset-at-keyframe,200,8,296,669.0
congested,reset-at-keyframe,200,8,297,652.0
congested,reset-at-keyframe,200,8,298,774.0
congested,reset-at-keyframe,200,8,299,1059.0
congested,reset-at-keyframe,200,8,300,995.0
congested,reset-at-keyframe,200,8,301,1000.0
congested,reset-at-keyframe,200,8,302,1023.0
