condition,strategy,timeout_ms,run,group_id,object_id,frame_type,latency_ms
baseline,none,0,1,10,10,P,50.5
baseline,none,0,1,10,11,P,50.6
baseline,none,0,1,10,12,P,50.4
baseline,none,0,1,10,13,P,50.6
baseline,none,0,1,10,14,P,50.5
baseline,none,0,1,10,15,P,50.5
baseline,none,0,1,10,16,P,50.7
baseline,none,0,1,10,17,P,50.6
baseline,none,0,1,10,18,P,50.4
baseline,none,0,1,10,19,P,50.3
baseline,none,0,1,10,20,P,50.4
baseline,none,0,1,10,21,P,50.7
baseline,none,0,1,10,22,P,50.6
baseline,none,0,1,10,23,P,50.6
baseline,none,0,1,10,24,P,50.8
baseline,none,0,1,10,25,P,50.7
baseline,none,0,1,10,26,P,50.4
baseline,none,0,1,10,27,P,50.4
baseline,none,0,1,10,28,P,50.5
baseline,none,0,1,10,29,P,50.5
baseline,none,0,1,11,0,I,74.1
baseline,none,0,1,11,1,P,50.2
baseline,none,0,1,11,2,P,50.3
baseline,none,0,1,11,3,P,50.3
baseline,none,0,1,11,4,P,50.4
baseline,none,0,1,11,5,P,50.5
baseline,none,0,1,11,6,P,50.5
baseline,none,0,1,11,7,P,50.5
baseline,none,0,1,11,8,P,50.6
baseline,none,0,1,11,9,P,50.6
baseline,none,0,1,11,10,P,50.4
baseline,none,0,1,11,11,P,50.5
baseline,none,0,1,11,12,P,50.5
baseline,none,0,1,11,13,P,50.5
baseline,none,0,1,11,14,P,50.4
baseline,none,0,1,11,15,P,50.5
baseline,none,0,1,11,16,P,50.4
baseline,none,0,1,11,17,P,50.3
baseline,none,0,1,11,18,P,50.3
baseline,none,0,1,11,19,P,50.5
baseline,none,0,1,11,20,P,50.3
baseline,none,0,1,11,21,P,50.5
baseline,none,0,1,11,22,P,50.4
baseline,none,0,1,11,23,P,50.4
baseline,none,0,1,11,24,P,50.4
baseline,none,0,1,11,25,P,50.5
baseline,none,0,1,11,26,P,50.5
baseline,none,0,1,11,27,P,50.4
baseline,none,0,1,11,28,P,50.7
baseline,none,0,1,11,29,P,50.6
baseline,none,0,1,12,0,I,72.3
baseline,none,0,1,12,1,P,50.2
baseline,none,0,1,12,2,P,50.4
baseline,none,0,1,12,3,P,50.4
baseline,none,0,1,12,4,P,50.3
baseline,none,0,1,12,5,P,50.5
baseline,none,0,1,12,6,P,50.3
baseline,none,0,1,12,7,P,50.4
baseline,none,0,1,12,8,P,50.4
baseline,none,0,1,12,9,P,50.4
baseline,none,0,1,12,10,P,50.4
baseline,none,0,1,12,11,P,50.4
baseline,none,0,1,12,12,P,50.4
baseline,none,0,1,12,13,P,50.4
baseline,none,0,1,12,14,P,50.4
baseline,none,0,1,12,15,P,50.4
baseline,none,0,1,12,16,P,50.6
baseline,none,0,1,12,17,P,50.5
baseline,none,0,1,12,18,P,50.7
baseline,none,0,1,12,19,P,50.6
baseline,none,0,1,12,20,P,50.4
baseline,none,0,1,12,21,P,50.5
baseline,none,0,1,12,22,P,50.4
baseline,none,0,1,12,23,P,50.3
baseline,none,0,1,12,24,P,50.6
baseline,none,0,1,12,25,P,50.4
baseline,none,0,1,12,26,P,50.4
baseline,none,0,1,12,27,P,50.6
