condition,strategy,timeout_ms,run,num_frames,stall_count,stall_total_s,stall_from_duration_s,stall_max_ms
congested,reset-at-keyframe,100,5,468,15,13.023,12.706,1107.0
congested,reset-at-keyframe,100,6,468,15,13.022,12.721,1106.0
congested,reset-at-keyframe,100,7,468,15,13.006,12.704,1105.0
congested,reset-at-keyframe,100,8,468,15,13.004,12.706,1107.0
congested,reset-at-keyframe,100,9,465,15,13.107,12.804,1107.0
congested,reset-at-keyframe,100,10,440,16,13.941,13.663,1107.0
congested,reset-at-keyframe,200,1,525,14,10.932,10.785,1059.0
congested,reset-at-keyframe,200,2,525,14,10.932,10.784,1058.0
congested,reset-at-keyframe,200,3,525,14,10.936,10.784,1059.0
congested,reset-at-keyframe,200,4,525,14,10.934,10.788,1059.0
congested,reset-at-keyframe,200,5,525,14,10.936,10.79,1061.0
congested,reset-at-keyframe,200,6,525,14,10.933,10.779,1059.0
congested,reset-at-keyframe,200,7,525,14,10.937,10.773,1059.0
congested,reset-at-keyframe,200,8,525,14,10.943,10.783,1059.0
congested,reset-at-keyframe,200,9,525,14,10.935,10.788,1059.0
congested,reset-at-keyframe,200,10,525,14,10.933,10.801,1060.0
congested,reset-at-keyframe,500,1,602,13,8.968,8.992,925.0
congested,reset-at-keyframe,500,2,602,13,8.967,9.004,926.0
congested,reset-at-keyframe,500,3,602,13,8.909,8.981,937.0
congested,reset-at-keyframe,500,4,602,13,8.942,8.948,926.0
congested,reset-at-keyframe,500,5,601,13,8.929,9.021,925.0
congested,reset-at-keyframe,500,6,602,13,8.969,8.994,925.0
congested,reset-at-keyframe,500,7,610,14,8.819,8.722,937.0
congested,reset-at-keyframe,500,8,602,13,8.957,8.967,937.0
congested,reset-at-keyframe,500,9,601,13,8.97,9.026,925.0
congested,reset-at-keyframe,500,10,602,13,8.956,8.968,925.0
congested,reset-at-keyframe,1000,1,630,13,8.682,8.541,925.0
congested,reset-at-keyframe,1000,2,630,13,8.68,8.562,925.0
congested,reset-at-keyframe,1000,3,630,13,8.699,8.559,925.0
congested,reset-at-keyframe,1000,4,630,13,8.678,8.549,925.0
congested,reset-at-keyframe,1000,5,630,13,8.681,8.546,925.0
congested,reset-at-keyframe,1000,6,630,13,8.682,8.546,925.0
congested,reset-at-keyframe,1000,7,630,13,8.68,8.546,925.0
congested,reset-at-keyframe,1000,8,630,13,8.681,8.551,925.0
congested,reset-at-keyframe,1000,9,630,13,8.68,8.552,925.0
congested,reset-at-keyframe,1000,10,630,13,8.68,8.55,924.0
congested,reset-at-object,100,1,468,15,13.006,12.714,1106.0
congested,reset-at-object,100,2,468,15,13.006,12.718,1106.0
congested,reset-at-object,100,3,468,16,13.055,12.71,1106.0
congested,reset-at-object,100,4,468,15,13.007,12.72,1107.0
congested,reset-at-object,100,5,468,15,13.006,12.725,1106.0
congested,reset-at-object,100,6,468,15,13.003,12.705,1106.0
congested,reset-at-object,100,7,468,15,13.003,12.723,1105.0
congested,reset-at-object,100,8,468,15,13.023,12.716,1106.0
congested,reset-at-object,100,9,468,15,13.003,12.702,1109.0
congested,reset-at-object,100,10,468,15,13.022,12.716,1106.0
congested,reset-at-object,200,1,526,14,10.885,10.752,1056.0
congested,reset-at-object,200,2,526,14,10.884,10.75,1054.0
congested,reset-at-object,200,3,526,14,10.884,10.748,1056.0
congested,reset-at-object,200,4,526,14,10.899,10.756,1058.0
congested,reset-at-object,200,5,526,14,10.887,10.754,1056.0
congested,reset-at-object,200,6,526,14,10.884,10.737,1056.0
congested,reset-at-object,200,7,526,14,10.885,10.751,1057.0
congested,reset-at-object,200,8,526,14,10.884,10.748,1055.0
congested,reset-at-object,200,9,526,14,10.901,10.743,1056.0
congested,reset-at-object,200,10,525,14,10.947,10.791,1059.0
congested,reset-at-object,500,1,602,13,8.97,8.991,925.0
congested,reset-at-object,500,2,602,13,8.97,9.0,925.0
congested,reset-at-object,500,3,602,13,8.969,9.007,926.0
congested,reset-at-object,500,4,602,13,8.935,8.998,925.0
congested,reset-at-object,500,5,602,13,8.967,8.994,925.0
congested,reset-at-object,500,6,602,13,8.964,8.987,926.0
congested,reset-at-object,500,7,609,15,8.897,8.757,938.0
congested,reset-at-object,500,8,602,13,8.959,8.969,925.0
congested,reset-at-object,500,9,602,13,8.957,8.981,925.0
congested,reset-at-object,500,10,602,13,8.965,8.998,925.0
congested,reset-at-object,1000,1,630,13,8.653,8.543,923.0
congested,reset-at-object,1000,2,630,13,8.695,8.537,924.0
congested,reset-at-object,1000,3,630,13,8.682,8.569,925.0
congested,reset-at-object,1000,4,629,13,8.66,8.58,984.0
congested,reset-at-object,1000,5,630,13,8.68,8.572,924.0
congested,reset-at-object,1000,6,630,13,8.67,8.537,941.0
congested,reset-at-object,1000,7,630,13,8.624,8.548,972.0
congested,reset-at-object,1000,8,630,13,8.665,8.525,942.0
congested,reset-at-object,1000,9,630,13,8.654,8.544,923.0
congested,reset-at-object,1000,10,630,13,8.678,8.575,925.0
congested,reset-stream,100,1,455,3,11.53,11.236,7733.0
congested,reset-stream,100,2,454,3,11.562,11.278,7765.0
congested,reset-stream,100,3,455,3,11.526,11.23,7729.0
congested,reset-stream,100,4,455,3,11.528,11.234,7731.0
congested,reset-stream,100,5,455,3,11.526,11.255,7730.0
congested,reset-stream,100,6,453,2,11.594,11.312,11073.0
congested,reset-stream,100,7,454,5,11.561,11.26,6819.0
congested,reset-stream,100,8,429,5,12.395,12.104,4321.0
congested,reset-stream,100,9,454,3,11.574,11.267,7778.0
congested,reset-stream,100,10,454,4,11.559,11.269,7797.0
congested,reset-stream,200,1,513,3,9.425,9.281,7497.0
congested,reset-stream,200,2,513,3,9.426,9.276,7498.0
congested,reset-stream,200,3,513,3,9.44,9.265,7497.0
congested,reset-stream,200,4,513,3,9.426,9.274,7498.0
congested,reset-stream,200,5,513,3,9.425,9.268,7498.0
congested,reset-stream,200,6,513,3,9.44,9.271,7498.0
congested,reset-stream,200,7,516,5,9.335,9.17,5101.0
congested,reset-stream,200,8,513,3,9.44,9.269,7497.0
congested,reset-stream,200,9,513,3,9.44,9.272,7496.0
congested,reset-stream,200,10,513,3,9.422,9.273,7497.0
congested,reset-stream,500,1,598,9,7.446,7.555,1240.0
congested,reset-stream,500,2,600,11,9.029,9.04,1569.0
congested,reset-stream,500,3,598,9,9.05,9.144,2041.0
congested,reset-stream,500,4,598,9,7.445,7.55,1239.0
congested,reset-stream,500,5,600,11,8.944,9.037,1240.0
congested,reset-stream,500,6,604,9,8.338,8.14,2186.0
congested,reset-stream,500,7,599,11,8.933,9.059,1544.0
congested,reset-stream,500,8,597,9,7.451,7.577,1239.0
congested,reset-stream,500,9,598,10,7.503,7.554,1239.0
congested,reset-stream,500,10,598,10,9.027,9.115,2018.0
congested,reset-stream,1000,1,627,10,8.816,8.668,1851.0
congested,reset-stream,1000,2,630,13,8.69,8.544,942.0
congested,reset-stream,1000,3,626,9,8.774,8.668,1815.0
congested,reset-stream,1000,4,627,10,8.818,8.658,1851.0
congested,reset-stream,1000,5,626,9,8.76,8.662,1815.0
congested,reset-stream,1000,6,626,9,8.758,8.648,1815.0
congested,reset-stream,1000,7,627,10,8.723,8.658,1805.0
congested,reset-stream,1000,8,626,9,8.758,8.66,1815.0
congested,reset-stream,1000,9,626,9,8.759,8.661,1815.0
congested,reset-stream,1000,10,626,9,8.756,8.677,1814.0
lossy,none,0,1,883,0,0.0,0,0
lossy,none,0,2,883,0,0.0,0,0
lossy,none,0,3,872,0,0.0,0,0
lossy,none,0,4,883,0,0.0,0,0
lossy,none,0,5,883,0,0.0,0,0
lossy,none,0,6,883,0,0.0,0,0
lossy,none,0,7,883,0,0.0,0,0
lossy,none,0,8,883,0,0.0,0,0
lossy,none,0,9,883,0,0.0,0,0
lossy,none,0,10,883,0,0.0,0,0
lossy,reset-at-keyframe,100,1,554,11,8.485,8.262,1040.0
lossy,reset-at-keyframe,100,2,554,11,9.515,9.372,1149.0
lossy,reset-at-keyframe,100,3,614,9,7.58,7.324,1112.0
lossy,reset-at-keyframe,100,4,555,12,9.508,9.263,1032.0
lossy,reset-at-keyframe,100,5,526,15,10.538,10.251,1102.0
lossy,reset-at-keyframe,100,6,527,13,10.422,10.158,1112.0
lossy,reset-at-keyframe,100,7,552,12,9.663,9.367,1042.0
lossy,reset-at-keyframe,100,8,519,14,10.758,10.405,1051.0
lossy,reset-at-keyframe,100,9,494,14,11.684,11.337,1118.0
lossy,reset-at-keyframe,100,10,526,13,9.552,9.204,1017.0
lossy,reset-at-keyframe,200,1,737,8,4.001,3.589,950.0
lossy,reset-at-keyframe,200,2,796,4,2.05,1.638,949.0
lossy,reset-at-keyframe,200,3,825,2,1.0,0.579,909.0
lossy,reset-at-keyframe,200,4,771,7,2.955,2.413,949.0
lossy,reset-at-keyframe,200,5,722,7,4.055,3.619,1002.0
lossy,reset-at-keyframe,200,6,688,7,5.637,5.228,1116.0
lossy,reset-at-keyframe,200,7,800,2,1.849,1.416,967.0
lossy,reset-at-keyframe,200,8,742,5,3.899,3.43,1010.0
lossy,reset-at-keyframe,200,9,798,3,0.903,0.54,671.0
lossy,reset-at-keyframe,200,10,746,5,3.702,3.288,1006.0
lossy,reset-at-keyframe,500,1,883,0,0.0,0,0
lossy,reset-at-keyframe,500,2,873,0,0.0,0,0
lossy,reset-at-keyframe,500,3,883,0,0.0,0,0
lossy,reset-at-keyframe,500,4,883,0,0.0,0,0
lossy,reset-at-keyframe,500,5,853,0,0.0,0,0
lossy,reset-at-keyframe,500,6,883,0,0.0,0,0
lossy,reset-at-keyframe,500,7,883,0,0.0,0,0
lossy,reset-at-keyframe,500,8,883,0,0.0,0,0
lossy,reset-at-keyframe,500,9,883,0,0.0,0,0
lossy,reset-at-keyframe,500,10,883,0,0.0,0,0
lossy,reset-at-keyframe,1000,1,883,0,0.0,0,0
lossy,reset-at-keyframe,1000,2,883,0,0.0,0,0
lossy,reset-at-keyframe,1000,3,883,0,0.0,0,0
lossy,reset-at-keyframe,1000,4,883,0,0.0,0,0
lossy,reset-at-keyframe,1000,5,883,0,0.0,0,0
lossy,reset-at-keyframe,1000,6,883,0,0.0,0,0
lossy,reset-at-keyframe,1000,7,883,0,0.0,0,0
lossy,reset-at-keyframe,1000,8,883,0,0.0,0,0
lossy,reset-at-keyframe,1000,9,872,0,0.0,0,0
lossy,reset-at-keyframe,1000,10,883,0,0.0,0,0
lossy,reset-at-object,100,1,555,13,9.498,9.225,1040.0
lossy,reset-at-object,100,2,518,14,10.831,10.462,1033.0
lossy,reset-at-object,100,3,545,13,9.819,9.471,1050.0
lossy,reset-at-object,100,4,553,13,9.472,9.255,1107.0
lossy,reset-at-object,100,5,527,13,10.389,10.13,1041.0
lossy,reset-at-object,100,6,526,12,10.432,10.263,1093.0
lossy,reset-at-object,100,7,556,13,9.521,9.182,1037.0
lossy,reset-at-object,100,8,440,16,13.384,13.147,1067.0
lossy,reset-at-object,100,9,585,11,8.408,8.165,1052.0
lossy,reset-at-object,100,10,496,14,11.521,11.214,1098.0
lossy,reset-at-object,200,1,788,4,1.85,1.407,899.0
lossy,reset-at-object,200,2,742,10,3.983,3.468,935.0
lossy,reset-at-object,200,3,838,1,0.273,0,306.0
lossy,reset-at-object,200,4,796,4,2.042,1.588,947.0
lossy,reset-at-object,200,5,825,3,1.062,0.606,918.0
