condition,strategy,timeout_ms,run,pub_total,pub_i,pub_p,recv_total,recv_i,recv_p,objects_dropped,groups_reset,groups_complete,delivery_ratio
congested,reset-at-object,200,7,900,32,868,543,32,511,357,14,18,0.6033
congested,reset-at-object,500,7,900,32,868,627,32,595,273,10,22,0.6967
congested,reset-at-object,1000,8,900,32,868,647,32,615,253,9,23,0.7189
congested,reset-at-object,100,8,900,32,868,485,32,453,415,16,16,0.5389
congested,reset-at-object,200,8,900,32,868,543,32,511,357,14,18,0.6033
congested,reset-at-object,500,8,900,32,868,619,32,587,281,11,21,0.6878
congested,reset-at-object,1000,9,900,32,868,647,32,615,253,9,23,0.7189
congested,reset-at-object,100,9,900,32,868,485,32,453,415,16,16,0.5389
congested,reset-at-object,200,9,900,32,868,543,32,511,357,14,18,0.6033
congested,reset-at-object,500,9,900,32,868,619,32,587,281,11,21,0.6878
congested,reset-at-object,1000,10,900,32,868,647,32,615,253,9,23,0.7189
congested,reset-at-object,100,10,900,32,868,485,32,453,415,16,16,0.5389
congested,reset-at-object,200,10,900,32,868,542,32,510,358,14,18,0.6022
congested,reset-at-object,500,10,900,32,868,619,32,587,281,11,21,0.6878
congested,reset-stream,1000,1,900,32,868,644,29,615,253,9,23,0.7156
congested,reset-stream,100,1,900,32,868,472,19,453,415,16,16,0.5244
congested,reset-stream,200,1,900,32,868,530,20,510,357,14,18,0.5889
congested,reset-stream,500,1,900,32,868,615,28,587,281,11,21,0.6833
congested,reset-stream,1000,2,900,32,868,647,32,615,253,9,23,0.7189
congested,reset-stream,100,2,900,32,868,471,19,452,415,16,16,0.5233
congested,reset-stream,200,2,900,32,868,530,20,510,357,14,18,0.5889
congested,reset-stream,500,2,900,32,868,617,30,587,281,11,21,0.6856
congested,reset-stream,1000,3,900,32,868,643,28,615,253,9,23,0.7144
congested,reset-stream,100,3,900,32,868,472,19,453,415,16,16,0.5244
congested,reset-stream,200,3,900,32,868,530,20,510,357,14,18,0.5889
congested,reset-stream,500,3,900,32,868,615,28,587,281,11,21,0.6833
congested,reset-stream,1000,4,900,32,868,644,29,615,253,9,23,0.7156
congested,reset-stream,100,4,900,32,868,472,19,453,415,16,16,0.5244
congested,reset-stream,200,4,900,32,868,530,20,510,357,14,18,0.5889
congested,reset-stream,500,4,900,32,868,615,28,587,281,11,21,0.6833
congested,reset-stream,1000,5,900,32,868,643,28,615,253,9,23,0.7144
congested,reset-stream,100,5,900,32,868,472,20,452,415,16,16,0.5244
congested,reset-stream,200,5,900,32,868,530,20,510,357,14,18,0.5889
congested,reset-stream,500,5,900,32,868,617,30,587,281,11,21,0.6856
congested,reset-stream,1000,6,900,32,868,643,28,615,253,9,23,0.7144
congested,reset-stream,100,6,900,32,868,470,18,452,415,16,16,0.5222
congested,reset-stream,200,6,900,32,868,530,20,510,357,14,18,0.5889
congested,reset-stream,500,6,900,32,868,621,26,595,273,10,22,0.6900
congested,reset-stream,1000,7,900,32,868,644,29,615,253,9,23,0.7156
congested,reset-stream,100,7,900,32,868,471,21,450,418,16,16,0.5233
congested,reset-stream,200,7,900,32,868,533,22,511,357,14,18,0.5922
congested,reset-stream,500,7,900,32,868,617,30,587,281,11,21,0.6856
congested,reset-stream,1000,8,900,32,868,643,28,615,253,9,23,0.7144
congested,reset-stream,100,8,900,32,868,446,21,425,443,16,16,0.4956
congested,reset-stream,200,8,900,32,868,530,20,510,357,14,18,0.5889
congested,reset-stream,500,8,900,32,868,615,28,587,281,11,21,0.6833
congested,reset-stream,1000,9,900,32,868,643,28,615,253,9,23,0.7144
congested,reset-stream,100,9,900,32,868,471,19,452,415,16,16,0.5233
congested,reset-stream,200,9,900,32,868,530,20,510,357,14,18,0.5889
congested,reset-stream,500,9,900,32,868,615,28,587,281,11,21,0.6833
congested,reset-stream,1000,10,900,32,868,643,28,615,253,9,23,0.7144
congested,reset-stream,100,10,900,32,868,471,21,450,418,16,16,0.5233
congested,reset-stream,200,10,900,32,868,530,20,510,357,14,18,0.5889
congested,reset-stream,500,10,900,32,868,616,29,587,281,11,21,0.6844
lossy,none,0,1,900,32,868,900,32,868,0,0,32,1.0000
lossy,none,0,2,900,32,868,900,32,868,0,0,32,1.0000
lossy,none,0,3,900,32,868,900,32,868,0,0,32,1.0000
lossy,none,0,4,900,32,868,900,32,868,0,0,32,1.0000
lossy,none,0,5,900,32,868,900,32,868,0,0,32,1.0000
lossy,none,0,6,900,32,868,900,32,868,0,0,32,1.0000
lossy,none,0,7,900,32,868,900,32,868,0,0,32,1.0000
lossy,none,0,8,900,32,868,900,32,868,0,0,32,1.0000
lossy,none,0,9,900,32,868,900,32,868,0,0,32,1.0000
lossy,none,0,10,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,1000,1,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,1,900,32,868,572,31,541,298,11,21,0.6356
lossy,reset-at-keyframe,200,1,900,32,868,755,32,723,145,5,27,0.8389
lossy,reset-at-keyframe,500,1,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,1000,2,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,2,900,32,868,573,32,541,327,12,20,0.6367
lossy,reset-at-keyframe,200,2,900,32,868,813,32,781,87,3,29,0.9033
lossy,reset-at-keyframe,500,2,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,1000,3,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,3,900,32,868,631,32,599,269,10,22,0.7011
lossy,reset-at-keyframe,200,3,900,32,868,842,32,810,58,2,30,0.9356
lossy,reset-at-keyframe,500,3,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,1000,4,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,4,900,32,868,573,32,541,327,12,20,0.6367
lossy,reset-at-keyframe,200,4,900,32,868,788,32,756,112,4,28,0.8756
lossy,reset-at-keyframe,500,4,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,1000,5,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,5,900,32,868,544,32,512,356,13,19,0.6044
lossy,reset-at-keyframe,200,5,900,32,868,739,32,707,161,6,26,0.8211
lossy,reset-at-keyframe,500,5,900,32,868,870,31,839,0,0,32,0.9667
lossy,reset-at-keyframe,1000,6,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,6,900,32,868,544,32,512,356,13,19,0.6044
lossy,reset-at-keyframe,200,6,900,32,868,705,32,673,195,7,25,0.7833
lossy,reset-at-keyframe,500,6,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,1000,7,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,7,900,32,868,569,32,537,331,12,20,0.6322
lossy,reset-at-keyframe,200,7,900,32,868,817,32,785,83,3,29,0.9078
lossy,reset-at-keyframe,500,7,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,1000,8,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,8,900,32,868,536,32,504,364,14,18,0.5956
lossy,reset-at-keyframe,200,8,900,32,868,759,32,727,141,5,27,0.8433
lossy,reset-at-keyframe,500,8,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,1000,9,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,9,900,32,868,511,32,479,389,14,18,0.5678
lossy,reset-at-keyframe,200,9,900,32,868,816,31,785,54,2,30,0.9067
lossy,reset-at-keyframe,500,9,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,1000,10,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-keyframe,100,10,900,32,868,543,31,512,327,12,20,0.6033
lossy,reset-at-keyframe,200,10,900,32,868,763,32,731,137,5,27,0.8478
lossy,reset-at-keyframe,500,10,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,1,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,100,1,900,32,868,573,32,541,327,12,20,0.6367
lossy,reset-at-object,200,1,900,32,868,805,32,773,95,4,28,0.8944
lossy,reset-at-object,500,1,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,2,900,32,868,870,31,839,0,0,32,0.9667
lossy,reset-at-object,100,2,900,32,868,544,32,512,356,13,19,0.6044
lossy,reset-at-object,200,2,900,32,868,759,32,727,141,5,27,0.8433
lossy,reset-at-object,500,2,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,3,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,100,3,900,32,868,573,32,541,327,12,20,0.6367
lossy,reset-at-object,200,3,900,32,868,855,32,823,45,2,30,0.9500
lossy,reset-at-object,500,3,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,4,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,100,4,900,32,868,573,32,541,327,12,20,0.6367
lossy,reset-at-object,200,4,900,32,868,813,32,781,87,3,29,0.9033
lossy,reset-at-object,500,4,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,5,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,100,5,900,32,868,544,32,512,356,13,19,0.6044
lossy,reset-at-object,200,5,900,32,868,842,32,810,58,2,30,0.9356
lossy,reset-at-object,500,5,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,6,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,100,6,900,32,868,544,32,512,356,13,19,0.6044
lossy,reset-at-object,200,6,900,32,868,784,32,752,116,4,28,0.8711
lossy,reset-at-object,500,6,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,7,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,100,7,900,32,868,573,32,541,327,12,20,0.6367
lossy,reset-at-object,200,7,900,32,868,813,32,781,87,3,29,0.9033
lossy,reset-at-object,500,7,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,8,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,100,8,900,32,868,457,32,425,443,16,16,0.5078
lossy,reset-at-object,200,8,900,32,868,788,32,756,112,4,28,0.8756
lossy,reset-at-object,500,8,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,9,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,100,9,900,32,868,602,32,570,298,11,21,0.6689
lossy,reset-at-object,200,9,900,32,868,846,32,814,54,2,30,0.9400
lossy,reset-at-object,500,9,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,1000,10,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-at-object,100,10,900,32,868,515,32,483,385,14,18,0.5722
lossy,reset-at-object,200,10,900,32,868,813,32,781,87,3,29,0.9033
lossy,reset-at-object,500,10,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-stream,1000,1,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-stream,100,1,900,32,868,536,24,512,356,13,19,0.5956
lossy,reset-stream,200,1,900,32,868,725,27,698,170,6,26,0.8056
lossy,reset-stream,500,1,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-stream,1000,2,900,32,868,900,32,868,0,0,32,1.0000
lossy,reset-stream,100,2,900,32,868,536,24,512,356,13,19,0.5956
lossy,reset-stream,200,2,900,32,868,682,29,653,215,8,24,0.7578
lossy,reset-stream,500,2,900,32,868,900,32,868,0,0,32,1.0000
